torque,hip,knee,reward,time
60,2,4,178.96912939137448,1653.0
60,2,5,113.50402871735082,1361.4
60,2,6,-30.25100845567612,525.2
60,2,7,145.68509530303484,1583.0
60,2,8,-62.48148272432635,321.8
60,3,4,320.3808910368254,1428.2
60,3,5,326.88177503366353,1304.4
60,3,6,326.6267106843409,1312.6
60,3,7,321.37058148077915,1444.8
60,3,8,204.5420928950814,1218.8
60,4,4,317.57944898166795,1357.8
60,4,5,327.4180660099648,1202.6
60,4,6,331.8804052988634,1150.4
60,4,7,334.4485374086762,1106.2
60,4,8,333.9846569131202,1140.2
60,5,4,310.23583578204983,1434.8
60,5,5,320.11728814870264,1255.0
60,5,6,325.88885610215414,1143.4
60,5,7,330.5896064413706,1078.8
60,5,8,333.1172538235663,1063.6
60,6,4,188.47203188465875,1283.2
60,6,5,166.20453640313247,1119.0
60,6,6,261.43089650182924,1294.4
60,6,7,314.21149665049677,1385.2
60,6,8,321.57684642207875,1280.6
70,2,4,178.96912939137448,1653.0
70,2,5,113.50402871735082,1361.4
70,2,6,-30.25100845567612,525.2
70,2,7,145.68509530303484,1583.0
70,2,8,-62.48148272432635,321.8
70,3,4,320.3808910368254,1428.2
70,3,5,326.88177503366353,1304.4
70,3,6,326.6267106843409,1312.6
70,3,7,321.37058148077915,1444.8
70,3,8,204.5420928950814,1218.8
70,4,4,317.57944898166795,1357.8
70,4,5,327.4180660099648,1202.6
70,4,6,331.8804052988634,1150.4
70,4,7,334.4485374086762,1106.2
70,4,8,333.9846569131202,1140.2
70,5,4,310.23583578204983,1434.8
70,5,5,320.11728814870264,1255.0
70,5,6,325.88885610215414,1143.4
70,5,7,330.5896064413706,1078.8
70,5,8,333.1172538235663,1063.6
70,6,4,188.47203188465875,1283.2
70,6,5,166.20453640313247,1119.0
70,6,6,261.43089650182924,1294.4
70,6,7,314.21149665049677,1385.2
70,6,8,321.57684642207875,1280.6
80,2,4,178.96912939137448,1653.0
80,2,5,113.50402871735082,1361.4
80,2,6,-30.25100845567612,525.2
80,2,7,145.68509530303484,1583.0
80,2,8,-62.48148272432635,321.8
80,3,4,320.3808910368254,1428.2
80,3,5,326.88177503366353,1304.4
80,3,6,326.6267106843409,1312.6
80,3,7,321.37058148077915,1444.8
80,3,8,204.5420928950814,1218.8
80,4,4,317.57944898166795,1357.8
80,4,5,327.4180660099648,1202.6
80,4,6,331.8804052988634,1150.4
80,4,7,334.4485374086762,1106.2
80,4,8,333.9846569131202,1140.2
80,5,4,310.23583578204983,1434.8
80,5,5,320.11728814870264,1255.0
80,5,6,325.88885610215414,1143.4
80,5,7,330.5896064413706,1078.8
80,5,8,333.1172538235663,1063.6
80,6,4,188.47203188465875,1283.2
80,6,5,166.20453640313247,1119.0
80,6,6,261.43089650182924,1294.4
80,6,7,314.21149665049677,1385.2
80,6,8,321.57684642207875,1280.6
90,2,4,178.96912939137448,1653.0
90,2,5,113.50402871735082,1361.4
90,2,6,-30.25100845567612,525.2
90,2,7,145.68509530303484,1583.0
90,2,8,-62.48148272432635,321.8
90,3,4,320.3808910368254,1428.2
90,3,5,326.88177503366353,1304.4
90,3,6,326.6267106843409,1312.6
90,3,7,321.37058148077915,1444.8
90,3,8,204.5420928950814,1218.8
90,4,4,317.57944898166795,1357.8
90,4,5,327.4180660099648,1202.6
90,4,6,331.8804052988634,1150.4
90,4,7,334.4485374086762,1106.2
90,4,8,333.9846569131202,1140.2
90,5,4,310.23583578204983,1434.8
90,5,5,320.11728814870264,1255.0
90,5,6,325.88885610215414,1143.4
90,5,7,330.5896064413706,1078.8
90,5,8,333.1172538235663,1063.6
90,6,4,188.47203188465875,1283.2
90,6,5,166.20453640313247,1119.0
90,6,6,261.43089650182924,1294.4
90,6,7,314.21149665049677,1385.2
90,6,8,321.57684642207875,1280.6
100,2,4,178.96912939137448,1653.0
100,2,5,113.50402871735082,1361.4
100,2,6,-30.25100845567612,525.2
100,2,7,145.68509530303484,1583.0
100,2,8,-62.48148272432635,321.8
100,3,4,320.3808910368254,1428.2
100,3,5,326.88177503366353,1304.4
100,3,6,326.6267106843409,1312.6
100,3,7,321.37058148077915,1444.8
100,3,8,204.5420928950814,1218.8
100,4,4,317.57944898166795,1357.8
100,4,5,327.4180660099648,1202.6
100,4,6,331.8804052988634,1150.4
100,4,7,334.4485374086762,1106.2
100,4,8,333.9846569131202,1140.2
100,5,4,310.23583578204983,1434.8
100,5,5,320.11728814870264,1255.0
100,5,6,325.88885610215414,1143.4
100,5,7,330.5896064413706,1078.8
100,5,8,333.1172538235663,1063.6
100,6,4,188.47203188465875,1283.2
100,6,5,166.20453640313247,1119.0
100,6,6,261.43089650182924,1294.4
100,6,7,314.21149665049677,1385.2
100,6,8,321.57684642207875,1280.6


Below trashold of 100:
torque,hip,knee,reward,time
60,2,6,-30.25100845567612,525.2
60,2,8,-62.48148272432635,321.8
70,2,6,-30.25100845567612,525.2
70,2,8,-62.48148272432635,321.8
80,2,6,-30.25100845567612,525.2
80,2,8,-62.48148272432635,321.8
90,2,6,-30.25100845567612,525.2
90,2,8,-62.48148272432635,321.8
100,2,6,-30.25100845567612,525.2
100,2,8,-62.48148272432635,321.8
